NAME,SEASON,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,G,PER,TS%,USG%,WS,BPM,VORP
Tyus Jones,2017-2018,0.457,0.349,0.877,132,232,95,6,416,82,14.1,0.5720000000000001,12.7,3.6,0.5,0.9
Lance Stephenson,2017-2018,0.42700000000000005,0.289,0.6609999999999999,424,235,46,17,757,82,12.4,0.495,21.6,1.8,-2.1,0.0
Julius Randle,2017-2018,0.5579999999999999,0.222,0.718,654,210,43,45,1323,82,19.9,0.606,25.3,6.6,0.9,1.6
Jakob Poeltl,2017-2018,0.659,0.5,0.594,393,57,39,100,567,82,17.5,0.662,14.8,5.6,3.3,2.0
Patrick Patterson,2017-2018,0.39799999999999996,0.386,0.87,193,57,48,23,318,82,10.0,0.555,10.8,2.6,-1.3,0.2
Bradley Beal,2017-2018,0.46,0.375,0.7909999999999999,363,373,96,36,1857,82,18.4,0.564,27.6,6.9,1.7,2.7
Dragan Bender,2017-2018,0.386,0.366,0.765,361,130,22,53,531,82,7.1,0.524,12.7,0.1,-2.7,-0.4
E'Twaun Moore,2017-2018,0.508,0.425,0.706,238,187,79,12,1022,82,12.1,0.593,16.1,4.4,-0.2,1.2
Bismack Biyombo,2017-2018,0.52,0.0,0.65,468,66,21,95,468,82,14.1,0.556,14.9,2.9,-1.6,0.2
Darius Miller,2017-2018,0.444,0.41100000000000003,0.866,164,111,28,17,637,82,9.3,0.617,12.8,3.0,-1.0,0.5
Khris Middleton,2017-2018,0.466,0.359,0.884,429,328,119,21,1652,82,17.4,0.5770000000000001,24.6,6.9,0.4,1.8
Cory Joseph,2017-2018,0.424,0.353,0.745,263,260,80,18,649,82,11.0,0.503,14.8,3.1,-1.2,0.5
LeBron James,2017-2018,0.542,0.36700000000000005,0.731,709,747,116,71,2251,82,28.6,0.621,31.6,14.0,9.6,8.9
Joe Ingles,2017-2018,0.467,0.44,0.795,344,392,90,20,940,82,14.4,0.623,15.9,7.6,3.1,3.3
Dillon Brooks,2017-2018,0.44,0.35600000000000004,0.747,257,135,73,17,898,82,9.8,0.531,18.5,1.2,-3.1,-0.7
Marcin Gortat,2017-2018,0.518,,0.675,623,151,40,61,690,82,14.7,0.546,15.5,4.9,0.3,1.2
Taj Gibson,2017-2018,0.5770000000000001,0.2,0.768,584,99,62,59,999,82,15.4,0.61,14.7,7.2,1.1,2.1
Yogi Ferrell,2017-2018,0.426,0.373,0.7959999999999999,249,201,64,9,838,82,11.4,0.54,17.0,3.0,-1.0,0.6
Raymond Felton,2017-2018,0.406,0.35200000000000004,0.818,156,203,49,16,565,82,13.0,0.494,20.4,2.2,-2.8,-0.3
Ish Smith,2017-2018,0.486,0.34700000000000003,0.698,224,360,64,20,894,82,15.4,0.525,20.8,4.4,-1.2,0.4
Patty Mills,2017-2018,0.41100000000000003,0.37200000000000005,0.89,154,229,55,11,819,82,11.8,0.5579999999999999,17.8,4.1,-0.4,0.9
Pat Connaughton,2017-2018,0.423,0.35200000000000004,0.841,161,91,23,22,441,82,9.3,0.539,13.4,2.5,-1.3,0.3
Karl-Anthony Towns,2017-2018,0.545,0.42100000000000004,0.858,1012,199,64,115,1743,82,24.9,0.6459999999999999,22.9,14.0,5.5,5.5
Taurean Waller-Prince,2017-2018,0.426,0.385,0.8440000000000001,389,214,85,42,1158,82,12.8,0.5489999999999999,22.1,2.0,-0.7,0.8
P.J. Tucker,2017-2018,0.39,0.371,0.7170000000000001,457,77,78,26,502,82,8.3,0.537,10.5,3.9,0.0,1.2
Andrew Wiggins,2017-2018,0.43799999999999994,0.331,0.643,358,160,91,51,1452,82,13.0,0.505,23.4,2.1,-2.5,-0.4
Aron Baynes,2017-2018,0.47100000000000003,0.14300000000000002,0.7559999999999999,434,93,22,51,482,81,12.1,0.502,16.8,3.0,-1.7,0.1
Pascal Siakam,2017-2018,0.508,0.22,0.621,364,159,62,42,589,81,14.5,0.5489999999999999,15.7,4.7,2.1,1.7
Jordan Clarkson,2017-2018,0.451,0.35200000000000004,0.8,217,221,58,6,1124,81,16.4,0.542,26.5,3.0,-1.9,0.1
Thaddeus Young,2017-2018,0.48700000000000004,0.32,0.598,512,152,135,36,955,81,14.8,0.528,17.3,5.5,1.5,2.3
Jerami Grant,2017-2018,0.535,0.29100000000000004,0.675,319,57,31,77,682,81,16.2,0.607,16.0,5.4,-0.6,0.6
Doug McDermott,2017-2018,0.467,0.426,0.79,200,79,19,16,630,81,10.4,0.579,15.0,2.3,-2.4,-0.2
Ben Simmons,2017-2018,0.545,0.0,0.56,659,661,140,70,1279,81,20.0,0.557,22.3,9.2,4.6,4.6
Kelly Oubre,2017-2018,0.40299999999999997,0.341,0.82,363,98,80,35,953,81,11.9,0.534,19.4,3.7,-1.2,0.4
Jamal Murray,2017-2018,0.451,0.37799999999999995,0.905,297,274,79,28,1352,81,16.1,0.5760000000000001,22.8,5.5,-0.2,1.2
CJ McCollum,2017-2018,0.44299999999999995,0.397,0.836,321,272,77,35,1732,81,17.0,0.536,26.5,6.6,0.4,1.8
Dejounte Murray,2017-2018,0.44299999999999995,0.265,0.7090000000000001,459,231,97,31,654,81,15.1,0.485,20.7,3.2,1.2,1.4
Will Barton,2017-2018,0.452,0.37,0.805,409,331,82,52,1268,81,16.2,0.562,20.7,6.2,1.0,2.0
Jrue Holiday,2017-2018,0.494,0.337,0.7859999999999999,365,486,123,64,1537,81,17.8,0.57,23.1,7.1,2.1,3.0
Josh Richardson,2017-2018,0.451,0.37799999999999995,0.845,285,231,121,75,1045,81,13.6,0.551,18.2,5.4,1.4,2.3
Dwight Howard,2017-2018,0.555,0.14300000000000002,0.574,1012,105,48,131,1347,81,20.5,0.5770000000000001,24.2,6.8,-0.3,1.1
J.R. Smith,2017-2018,0.40299999999999997,0.375,0.696,235,141,68,11,662,80,8.5,0.534,13.8,1.4,-1.7,0.2
Buddy Hield,2017-2018,0.446,0.431,0.877,307,155,85,22,1079,80,16.1,0.557,24.3,2.8,-0.2,0.9
Jeremy Lamb,2017-2018,0.457,0.37,0.861,324,186,61,32,1033,80,17.0,0.5589999999999999,22.4,4.9,0.9,1.5
Bojan Bogdanovic,2017-2018,0.474,0.402,0.868,270,119,55,8,1141,80,13.9,0.605,19.0,5.4,-0.7,0.8
Tobias Harris,2017-2018,0.46,0.41100000000000003,0.8290000000000001,437,192,71,35,1486,80,17.1,0.565,23.3,6.7,0.7,1.8
Kemba Walker,2017-2018,0.431,0.384,0.8640000000000001,248,444,91,24,1770,80,20.6,0.5720000000000001,27.4,8.5,3.2,3.6
Jayson Tatum,2017-2018,0.475,0.434,0.826,402,128,83,58,1112,80,15.3,0.586,19.5,7.1,1.0,1.8
Nick Young,2017-2018,0.41200000000000003,0.377,0.862,125,36,38,7,581,80,10.0,0.562,17.6,1.7,-3.7,-0.6
Robert Covington,2017-2018,0.413,0.369,0.853,433,156,137,72,1009,80,12.9,0.563,17.2,6.1,2.5,2.9
Bryn Forbes,2017-2018,0.42100000000000004,0.39,0.667,110,80,28,2,555,80,9.1,0.525,16.7,2.1,-3.1,-0.4
Jamal Crawford,2017-2018,0.415,0.331,0.903,99,185,40,9,822,80,13.0,0.519,23.7,1.3,-3.9,-0.8
DeMar DeRozan,2017-2018,0.456,0.31,0.825,315,417,85,22,1840,80,21.0,0.555,29.6,9.6,1.8,2.6
Jae Crowder,2017-2018,0.40399999999999997,0.32299999999999995,0.818,275,99,64,21,773,80,10.4,0.525,17.3,2.6,-1.7,0.1
Terry Rozier,2017-2018,0.395,0.381,0.772,376,232,80,19,900,80,15.1,0.52,20.4,5.6,1.8,2.0
Russell Westbrook,2017-2018,0.449,0.298,0.737,804,820,147,20,2028,80,24.7,0.524,34.1,10.1,8.2,7.5
Marco Belinelli,2017-2018,0.441,0.377,0.9079999999999999,151,148,66,12,971,80,14.1,0.581,20.7,3.7,-1.3,0.3
Spencer Dinwiddie,2017-2018,0.387,0.326,0.813,259,524,68,23,1007,80,15.9,0.527,20.3,5.7,0.2,1.3
Frank Kaminsky,2017-2018,0.429,0.38,0.799,288,129,36,19,873,79,14.4,0.545,20.5,3.6,-0.9,0.5
Anthony Tolliver,2017-2018,0.46399999999999997,0.436,0.797,241,90,32,21,703,79,13.9,0.6629999999999999,14.8,5.3,1.5,1.5
Dwight Powell,2017-2018,0.593,0.33299999999999996,0.7190000000000001,444,91,67,32,671,79,18.8,0.6559999999999999,15.5,6.6,2.7,2.0
Troy Daniels,2017-2018,0.40299999999999997,0.4,0.875,127,48,26,5,703,79,9.8,0.583,17.2,1.4,-2.9,-0.4
Lou Williams,2017-2018,0.435,0.359,0.88,198,417,85,19,1782,79,20.2,0.574,29.8,6.7,1.0,2.0
Gorgui Dieng,2017-2018,0.479,0.311,0.775,360,71,45,39,470,79,14.7,0.5429999999999999,16.3,2.9,-0.4,0.5
Evan Turner,2017-2018,0.447,0.318,0.85,244,173,47,29,649,79,9.9,0.52,15.6,2.6,-1.8,0.1
Jusuf Nurkic,2017-2018,0.505,0.0,0.63,708,143,64,111,1132,79,19.2,0.528,26.4,4.7,0.3,1.2
Donovan Mitchell,2017-2018,0.43700000000000006,0.34,0.805,296,291,118,27,1616,79,16.7,0.541,29.1,5.2,1.1,2.1
Paul George,2017-2018,0.43,0.401,0.8220000000000001,447,263,161,39,1734,79,18.7,0.57,25.7,8.9,2.6,3.3
Ed Davis,2017-2018,0.5820000000000001,0.0,0.667,575,40,32,52,414,78,15.5,0.607,12.1,5.0,0.0,0.7
Joe Harris,2017-2018,0.491,0.419,0.8270000000000001,260,128,35,20,846,78,13.3,0.634,16.6,4.0,0.1,1.1
Jeff Green,2017-2018,0.47700000000000004,0.312,0.868,246,99,41,34,846,78,14.8,0.5870000000000001,19.3,3.9,-1.9,0.1
Andre Drummond,2017-2018,0.529,0.0,0.605,1247,237,114,127,1171,78,22.9,0.555,21.2,10.3,5.5,5.0
Marvin Williams,2017-2018,0.45799999999999996,0.413,0.8290000000000001,370,96,56,38,744,78,13.9,0.603,14.8,5.0,1.7,1.9
Kyle Lowry,2017-2018,0.42700000000000005,0.39899999999999997,0.8540000000000001,434,537,85,19,1267,78,19.5,0.598,21.7,10.2,5.9,5.0
Dario Saric,2017-2018,0.45299999999999996,0.39299999999999996,0.86,520,202,51,20,1141,78,15.8,0.5820000000000001,20.9,6.6,1.4,2.0
Carmelo Anthony,2017-2018,0.40399999999999997,0.35700000000000004,0.767,453,103,47,49,1261,78,12.7,0.503,23.2,3.7,-3.8,-1.1
Bogdan Bogdanovic,2017-2018,0.446,0.392,0.84,223,258,72,16,917,78,13.5,0.556,19.6,2.9,-1.0,0.6
Frank Ntilikina,2017-2018,0.364,0.318,0.721,177,250,65,18,463,78,7.0,0.43700000000000006,16.9,-0.9,-3.9,-0.8
Josh Jackson,2017-2018,0.41700000000000004,0.263,0.634,351,119,80,35,1012,77,11.8,0.48,26.0,-0.7,-4.3,-1.1
Jonas Valanciunas,2017-2018,0.568,0.405,0.8059999999999999,660,81,29,69,980,77,22.5,0.628,22.7,7.6,1.5,1.5
Ricky Rubio,2017-2018,0.418,0.35200000000000004,0.866,351,410,121,11,1008,77,15.4,0.537,22.9,5.3,1.7,2.1
Otto Porter,2017-2018,0.503,0.441,0.828,492,157,116,41,1134,77,18.3,0.602,18.4,8.1,3.6,3.4
Harrison Barnes,2017-2018,0.445,0.35700000000000004,0.8270000000000001,468,152,49,14,1452,77,15.8,0.539,25.2,3.8,-2.1,-0.1
Kyle O'Quinn,2017-2018,0.583,0.235,0.772,470,158,36,98,550,77,20.0,0.625,17.0,4.8,4.5,2.3
Wayne Ellington,2017-2018,0.40700000000000003,0.392,0.8590000000000001,218,79,53,8,864,77,12.5,0.588,17.3,4.5,0.0,1.0
Derrick Favors,2017-2018,0.563,0.222,0.6509999999999999,552,102,54,82,944,77,18.8,0.593,18.5,8.0,2.7,2.5
Pau Gasol,2017-2018,0.45799999999999996,0.358,0.7559999999999999,619,238,24,79,775,77,18.9,0.539,20.4,6.0,3.2,2.4
Davis Bertans,2017-2018,0.44,0.373,0.816,153,74,26,28,456,77,14.1,0.588,17.4,3.1,1.0,0.8
Dirk Nowitzki,2017-2018,0.456,0.409,0.898,438,120,43,45,927,77,16.7,0.575,20.5,4.8,0.3,1.1
Denzel Valentine,2017-2018,0.41700000000000004,0.386,0.745,393,244,65,11,783,77,12.1,0.527,17.5,2.5,-0.5,0.8
Kyle Kuzma,2017-2018,0.45,0.366,0.7070000000000001,483,141,49,34,1242,77,14.2,0.5489999999999999,22.5,3.8,-1.3,0.4
Jodie Meeks,2017-2018,0.39899999999999997,0.34299999999999997,0.863,126,70,29,4,487,77,12.4,0.5479999999999999,19.0,2.0,-2.8,-0.2
Ian Mahinmi,2017-2018,0.556,0.0,0.703,312,53,38,42,366,77,12.2,0.601,15.6,2.2,-0.7,0.4
DeAndre Jordan,2017-2018,0.645,,0.58,1171,117,39,71,927,77,20.2,0.648,15.2,9.4,2.1,2.5
Mike Scott,2017-2018,0.527,0.405,0.6579999999999999,247,80,23,10,668,76,13.7,0.599,20.0,2.5,-2.3,-0.1
Montrezl Harrell,2017-2018,0.635,0.14300000000000002,0.626,306,74,36,52,836,76,24.7,0.647,23.8,5.5,2.4,1.5
Steven Adams,2017-2018,0.629,0.0,0.5589999999999999,685,88,92,78,1056,76,20.6,0.63,16.7,9.7,3.3,3.3
T.J. McConnell,2017-2018,0.499,0.435,0.795,226,303,92,13,478,76,12.5,0.545,13.8,3.8,-0.7,0.5
John Henson,2017-2018,0.5720000000000001,0.14300000000000002,0.57,513,114,45,109,665,76,15.7,0.5820000000000001,15.0,4.9,0.4,1.2
Serge Ibaka,2017-2018,0.483,0.36,0.797,478,62,29,99,959,76,14.7,0.574,19.4,5.1,-0.2,1.0
Fred VanVleet,2017-2018,0.426,0.414,0.8320000000000001,184,243,68,19,656,76,15.9,0.556,19.1,4.7,1.9,1.5
Kelly Olynyk,2017-2018,0.49700000000000005,0.379,0.77,431,207,62,35,872,76,17.8,0.612,21.7,5.5,2.9,2.2
Courtney Lee,2017-2018,0.45399999999999996,0.406,0.919,224,180,80,17,913,76,13.0,0.564,16.9,3.9,0.0,1.2
Allen Crabbe,2017-2018,0.40700000000000003,0.37799999999999995,0.852,324,117,47,35,990,75,12.3,0.5579999999999999,19.0,3.2,-0.8,0.7
Victor Oladipo,2017-2018,0.47700000000000004,0.371,0.799,390,323,177,57,1735,75,23.1,0.5770000000000001,30.1,8.3,4.9,4.5
Anthony Davis,2017-2018,0.534,0.34,0.828,832,174,115,193,2110,75,28.9,0.612,30.0,13.7,5.2,4.9
Goran Dragic,2017-2018,0.45,0.37,0.8009999999999999,307,359,63,12,1296,75,16.6,0.5429999999999999,25.7,5.3,-0.1,1.2
Mario Hezonja,2017-2018,0.442,0.337,0.8190000000000001,281,106,81,31,722,75,13.7,0.544,19.9,2.3,-0.8,0.5
Nikola Jokic,2017-2018,0.499,0.396,0.85,803,458,90,61,1385,75,24.4,0.603,24.2,10.7,7.1,5.6
Tony Snell,2017-2018,0.435,0.40299999999999997,0.792,141,98,47,28,516,75,8.5,0.578,10.6,2.4,-1.8,0.1
Alex Abrines,2017-2018,0.395,0.38,0.848,114,28,38,8,353,75,9.0,0.5670000000000001,12.7,2.2,-2.2,-0.1
LaMarcus Aldridge,2017-2018,0.51,0.293,0.8370000000000001,635,152,43,90,1735,75,25.0,0.57,29.1,10.9,3.3,3.3
D.J. Augustin,2017-2018,0.452,0.419,0.868,160,287,54,0,766,75,15.4,0.615,18.6,4.1,-0.9,0.5
Giannis Antetokounmpo,2017-2018,0.529,0.307,0.76,753,361,109,106,2014,75,27.3,0.598,31.2,11.9,5.8,5.4
Jerian Grant,2017-2018,0.41600000000000004,0.326,0.745,172,342,63,8,619,74,14.3,0.528,17.4,3.3,-2.0,0.0
Domantas Sabonis,2017-2018,0.514,0.35100000000000003,0.75,572,151,40,32,861,74,17.5,0.5670000000000001,22.1,4.7,-0.2,0.8
Clint Capela,2017-2018,0.652,0.0,0.56,802,68,58,137,1026,74,24.5,0.65,19.4,10.2,3.0,2.6
Mason Plumlee,2017-2018,0.601,0.0,0.45799999999999996,400,142,49,81,524,74,16.9,0.586,16.6,3.6,1.8,1.4
Michael Beasley,2017-2018,0.507,0.395,0.78,414,123,36,43,976,74,17.8,0.556,26.9,2.4,-1.5,0.2
Kentavious Caldwell-Pope,2017-2018,0.426,0.38299999999999995,0.789,387,162,106,16,992,74,13.2,0.561,16.9,5.3,1.0,1.9
Shabazz Napier,2017-2018,0.42,0.376,0.841,170,150,81,14,644,74,14.2,0.544,19.5,3.2,0.2,0.8
Eric Bledsoe,2017-2018,0.473,0.34700000000000003,0.795,284,370,149,42,1313,74,19.7,0.5820000000000001,26.1,5.6,2.1,2.4
Thon Maker,2017-2018,0.41100000000000003,0.298,0.6990000000000001,225,46,38,53,356,74,10.2,0.499,14.6,1.5,-2.7,-0.2
Brook Lopez,2017-2018,0.465,0.345,0.703,294,126,30,98,961,74,16.4,0.557,23.5,3.8,0.5,1.1
Michael Kidd-Gilchrist,2017-2018,0.504,0.0,0.684,302,71,51,32,681,74,12.5,0.536,16.2,3.2,-1.8,0.1
Wesley Johnson,2017-2018,0.408,0.33899999999999997,0.741,216,61,76,62,403,74,9.8,0.512,13.0,1.7,0.3,0.9
Amir Johnson,2017-2018,0.5379999999999999,0.313,0.612,330,118,45,44,342,74,14.8,0.575,12.8,4.1,2.9,1.5
OG Anunoby,2017-2018,0.47100000000000003,0.371,0.629,184,55,52,14,438,74,10.0,0.5870000000000001,12.4,3.0,0.6,1.0
Jonas Jerebko,2017-2018,0.466,0.414,0.807,246,42,24,12,429,74,13.2,0.586,15.6,3.4,-0.6,0.4
Wilson Chandler,2017-2018,0.445,0.358,0.772,398,159,43,39,738,74,11.0,0.542,14.3,3.3,-0.9,0.6
Kyle Anderson,2017-2018,0.527,0.33299999999999996,0.7120000000000001,396,202,115,60,585,74,15.9,0.5820000000000001,13.5,6.2,4.1,3.0
John Collins,2017-2018,0.5760000000000001,0.34,0.715,541,98,47,80,777,74,18.3,0.62,17.9,5.4,1.7,1.7
Ian Clark,2017-2018,0.44799999999999995,0.318,0.763,127,110,33,10,551,74,9.4,0.529,17.2,1.1,-3.9,-0.7
Willie Cauley-Stein,2017-2018,0.502,0.25,0.619,510,172,77,67,932,73,17.6,0.529,21.8,3.9,0.4,1.2
De'Aaron Fox,2017-2018,0.41200000000000003,0.307,0.723,204,320,70,20,844,73,11.2,0.478,23.4,-0.6,-4.4,-1.2
David West,2017-2018,0.5710000000000001,0.375,0.759,238,138,47,75,495,73,20.9,0.6,21.7,3.5,3.0,1.3
Semi Ojeleye,2017-2018,0.34600000000000003,0.32,0.61,161,20,21,4,195,73,4.6,0.473,9.0,1.2,-3.5,-0.4
Markieff Morris,2017-2018,0.48,0.36700000000000005,0.82,409,142,56,38,841,73,13.2,0.5660000000000001,19.5,3.3,-0.5,0.7
Jarell Martin,2017-2018,0.446,0.34700000000000003,0.767,318,73,39,49,565,73,10.5,0.516,17.1,1.3,-3.0,-0.4
Damian Lillard,2017-2018,0.439,0.361,0.9159999999999999,325,481,77,27,1962,73,25.2,0.594,30.6,12.6,6.7,5.9
Trey Lyles,2017-2018,0.491,0.381,0.706,347,91,30,34,724,73,17.9,0.591,21.1,3.9,-0.8,0.4
DeMarre Carroll,2017-2018,0.414,0.371,0.764,479,147,59,30,983,73,14.3,0.55,19.8,4.1,0.2,1.2
Kyle Korver,2017-2018,0.45899999999999996,0.436,0.889,165,88,31,27,672,73,13.4,0.652,16.0,3.4,0.1,0.9
Luke Kennard,2017-2018,0.44299999999999995,0.415,0.855,176,124,44,13,558,73,12.1,0.56,17.2,2.6,-1.5,0.2
James Johnson,2017-2018,0.503,0.308,0.698,358,280,70,51,788,73,15.8,0.575,19.1,4.9,1.7,1.8
Bobby Portis,2017-2018,0.47100000000000003,0.359,0.769,498,123,50,23,964,73,19.7,0.5479999999999999,26.0,3.5,0.3,1.0
Sam Dekker,2017-2018,0.494,0.16699999999999998,0.6609999999999999,174,38,24,9,303,73,11.5,0.534,15.5,1.2,-3.1,-0.2
Marc Gasol,2017-2018,0.42,0.341,0.8340000000000001,592,305,54,101,1258,73,17.4,0.532,25.6,4.0,1.5,2.1
Tomas Satoransky,2017-2018,0.523,0.465,0.7809999999999999,233,286,52,15,524,73,15.4,0.615,13.7,5.0,1.1,1.3
Sindarius Thornwell,2017-2018,0.429,0.377,0.67,140,68,48,25,282,73,8.2,0.519,12.1,1.0,-1.6,0.1
Dante Cunningham,2017-2018,0.451,0.345,0.596,298,48,39,30,417,73,10.0,0.539,11.6,2.4,-1.4,0.2
Klay Thompson,2017-2018,0.488,0.44,0.8370000000000001,277,185,55,34,1461,73,16.1,0.598,23.7,4.9,-0.6,0.9
Lance Thomas,2017-2018,0.382,0.40299999999999997,0.83,175,44,30,14,298,73,6.3,0.513,10.7,0.9,-2.6,-0.2
Marquese Chriss,2017-2018,0.423,0.295,0.608,395,83,51,70,556,72,11.1,0.509,18.1,0.7,-2.0,0.0
Tyler Johnson,2017-2018,0.435,0.36700000000000005,0.8220000000000001,248,165,60,34,843,72,13.0,0.5489999999999999,18.6,4.2,-0.2,0.9
James Ennis,2017-2018,0.474,0.33299999999999996,0.836,224,71,47,18,512,72,11.6,0.588,13.7,3.1,-1.1,0.4
James Harden,2017-2018,0.449,0.36700000000000005,0.858,389,630,126,50,2191,72,29.8,0.619,36.1,15.4,10.9,8.3
Corey Brewer,2017-2018,0.449,0.282,0.722,154,65,79,14,380,72,11.2,0.534,14.3,2.3,-0.6,0.4
Justin Holiday,2017-2018,0.371,0.359,0.823,291,153,80,31,876,72,10.8,0.513,18.2,1.7,-1.3,0.4
Al Horford,2017-2018,0.489,0.429,0.7829999999999999,530,339,43,78,927,72,17.6,0.575,18.4,7.8,4.0,3.5
Jarrett Allen,2017-2018,0.589,0.33299999999999996,0.7759999999999999,388,49,28,88,587,72,17.5,0.636,16.3,4.2,0.2,0.8
Maxi Kleber,2017-2018,0.489,0.313,0.746,234,51,26,47,386,72,13.4,0.5760000000000001,13.7,2.8,0.2,0.7
Caris LeVert,2017-2018,0.435,0.34700000000000003,0.711,260,299,82,22,858,71,14.3,0.525,22.5,2.3,-0.5,0.7
Shaun Livingston,2017-2018,0.501,0.0,0.82,131,140,35,21,394,71,11.6,0.5329999999999999,16.7,1.8,-3.5,-0.4
Devin Harris,2017-2018,0.41200000000000003,0.348,0.835,127,152,47,12,595,71,13.0,0.563,20.2,2.5,-2.0,0.0
Enes Kanter,2017-2018,0.5920000000000001,0.0,0.848,780,105,36,37,1000,71,24.0,0.63,21.8,7.6,2.5,2.1
Kosta Koufos,2017-2018,0.5710000000000001,,0.446,472,87,47,32,477,71,17.5,0.5660000000000001,15.2,3.9,0.5,0.9
Tyler Ulis,2017-2018,0.38799999999999996,0.28800000000000003,0.8320000000000001,128,311,70,7,554,71,10.1,0.465,18.5,-0.2,-5.2,-1.3
Quincy Acy,2017-2018,0.35600000000000004,0.349,0.8170000000000001,257,57,33,29,411,70,8.2,0.525,14.4,1.0,-2.2,-0.1
C.J. Miles,2017-2018,0.379,0.361,0.835,152,55,37,21,699,70,13.0,0.545,22.3,2.9,-0.5,0.5
Jaylen Brown,2017-2018,0.465,0.395,0.644,346,114,70,26,1017,70,13.6,0.562,21.4,4.5,-0.2,1.0
Danny Green,2017-2018,0.387,0.363,0.769,249,110,63,80,600,70,11.4,0.509,16.6,2.9,1.2,1.4
Jeff Teague,2017-2018,0.446,0.368,0.845,209,492,102,23,994,70,16.4,0.5529999999999999,20.6,4.9,0.2,1.3
Draymond Green,2017-2018,0.45399999999999996,0.301,0.775,535,508,95,91,773,70,16.1,0.556,17.2,6.1,3.2,3.0
David Nwaba,2017-2018,0.478,0.34600000000000003,0.655,326,104,59,29,555,70,12.2,0.542,15.6,2.4,-1.6,0.1
Norman Powell,2017-2018,0.401,0.285,0.821,119,89,37,16,385,70,8.5,0.49200000000000005,18.9,0.6,-2.8,-0.2
J.J. Redick,2017-2018,0.46,0.42,0.904,178,210,35,6,1198,70,15.9,0.614,21.7,6.6,0.0,1.1
Ersan Ilyasova,2017-2018,0.452,0.36,0.778,405,90,61,26,750,69,14.9,0.5579999999999999,18.7,4.0,0.1,0.9
Stanley Johnson,2017-2018,0.375,0.28600000000000003,0.772,252,112,95,14,599,69,9.0,0.48,16.4,1.8,-1.5,0.2
Shelvin Mack,2017-2018,0.43,0.345,0.711,166,272,54,8,473,69,13.3,0.518,17.6,2.0,-2.4,-0.1
Alex Len,2017-2018,0.5660000000000001,0.33299999999999996,0.684,518,82,27,61,587,69,19.4,0.612,17.0,4.5,0.8,1.0
Josh Huestis,2017-2018,0.33,0.287,0.3,161,20,15,43,159,69,5.4,0.41700000000000004,9.5,0.5,-3.9,-0.5
Dennis Smith,2017-2018,0.395,0.313,0.6940000000000001,260,358,71,18,1048,69,12.8,0.473,28.9,-0.7,-2.3,-0.1
Al-Farouq Aminu,2017-2018,0.395,0.369,0.738,525,84,79,40,644,69,12.0,0.522,14.8,4.2,1.1,1.6
Bam Adebayo,2017-2018,0.512,0.0,0.721,381,101,32,41,477,69,15.7,0.57,15.9,4.2,0.2,0.8
Jonathon Simmons,2017-2018,0.465,0.33799999999999997,0.768,239,171,58,16,962,69,12.7,0.555,22.0,1.9,-2.3,-0.2
Delon Wright,2017-2018,0.465,0.366,0.8290000000000001,198,200,72,33,555,69,16.5,0.574,17.2,4.5,2.8,1.7
Darren Collison,2017-2018,0.495,0.46799999999999997,0.882,178,368,92,15,855,69,18.8,0.61,17.4,7.6,2.2,2.1
Royce O'Neale,2017-2018,0.423,0.35600000000000004,0.8029999999999999,236,95,36,16,343,69,10.8,0.54,14.6,2.4,-0.6,0.4
Zaza Pachulia,2017-2018,0.564,0.0,0.8059999999999999,321,109,38,17,373,69,17.0,0.612,17.0,3.3,0.8,0.7
J.J. Barea,2017-2018,0.439,0.36700000000000005,0.784,201,434,35,3,801,69,17.8,0.545,24.9,3.3,0.1,0.8
Eric Gordon,2017-2018,0.428,0.359,0.809,170,154,44,27,1243,69,15.2,0.578,24.7,4.7,-1.0,0.5
Rondae Hollis-Jefferson,2017-2018,0.47200000000000003,0.24100000000000002,0.7879999999999999,459,167,65,48,946,68,16.9,0.5479999999999999,22.2,4.1,-0.4,0.8
Lauri Markkanen,2017-2018,0.434,0.36200000000000004,0.843,508,79,39,40,1033,68,15.6,0.552,21.9,3.3,-1.9,0.1
Justin Jackson,2017-2018,0.442,0.308,0.722,187,74,28,13,453,68,9.2,0.521,14.2,1.0,-3.5,-0.6
Trevor Booker,2017-2018,0.516,0.242,0.71,318,82,28,21,428,68,14.9,0.557,16.6,2.9,-0.5,0.4
Kevin Durant,2017-2018,0.516,0.419,0.889,464,366,50,119,1792,68,26.0,0.64,30.4,10.4,5.6,4.5
Justise Winslow,2017-2018,0.424,0.38,0.635,370,148,54,33,529,68,11.5,0.496,16.3,2.6,-1.0,0.4
Nemanja Bjelica,2017-2018,0.461,0.415,0.8,274,86,50,16,454,67,12.6,0.581,14.3,2.8,0.5,0.9
Eric Moreland,2017-2018,0.541,,0.379,278,78,31,51,143,67,13.9,0.531,9.7,2.3,2.6,0.9
Dennis Schroder,2017-2018,0.436,0.29,0.8490000000000001,208,417,72,6,1301,67,17.3,0.515,30.4,2.6,-0.7,0.7
George Hill,2017-2018,0.46,0.415,0.7859999999999999,181,186,61,27,667,67,13.3,0.58,16.3,3.2,-0.6,0.6
Trevor Ariza,2017-2018,0.41200000000000003,0.368,0.8540000000000001,294,105,98,13,782,67,11.8,0.5670000000000001,14.4,5.3,1.5,2.0
