,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP
63,754.0,618.0,54.0,94.0,37.0,54,0.54,1.0,0.703,0.573,24.7,24.1,5.3,0.2,0.8
18,1261.0,453.0,103.0,49.0,47.0,78,0.404,0.35700000000000004,0.767,0.503,23.2,12.7,3.7,-3.8,-1.1
3,1652.0,429.0,328.0,21.0,119.0,82,0.466,0.359,0.884,0.5770000000000001,24.6,17.4,6.9,0.4,1.8
60,939.0,523.0,191.0,62.0,56.0,57,0.475,0.314,0.8190000000000001,0.5329999999999999,25.9,19.7,3.6,2.7,2.0
4,356.4000000000001,158.4,46.2,46.2,13.2,66,0.4920000000000001,0.333,0.528,0.5539999999999999,16.6,10.2,1.5,-2.6,-0.2
12,224.4,52.8,48.40000000000001,0.0,13.2,44,0.425,0.365,0.7859999999999999,0.509,21.0,10.0,0.3,-3.8,-0.2
25,2110.0,832.0,174.0,193.0,115.0,75,0.534,0.34,0.828,0.612,30.0,28.9,13.7,5.2,4.9
44,1361.2,533.0,164.0,106.6,73.8,82,0.615,0.17600000000000002,0.643,0.636,22.6,23.4,8.7,4.2,3.4
28,524.0,400.0,142.0,81.0,49.0,74,0.601,0.0,0.458,0.586,16.6,16.9,3.6,1.8,1.4
21,952.0,384.0,136.0,32.0,64.0,80,0.399,0.331,0.721,0.5379999999999999,18.3,12.1,4.4,0.4,1.3
51,740.0,306.0,349.0,23.0,65.0,64,0.415,0.336,0.831,0.523,18.3,14.4,3.5,1.4,1.7
48,75.4,49.3,29.0,2.9000000000000004,23.200000000000006,29,0.413,0.321,0.867,0.532,9.1,7.5,0.5,-1.2,0.1
1,641.7,144.9,110.4,13.8,55.2,69,0.467,0.385,0.775,0.584,14.7,11.0,3.7,-0.8,0.5
40,600.0,249.0,110.0,80.0,63.0,70,0.387,0.363,0.769,0.509,16.6,11.4,2.9,1.2,1.4
13,66.7,23.0,9.2,4.6000000000000005,11.5,23,0.344,0.259,0.625,0.443,15.6,7.6,0.1,-3.6,-0.1
40,1074.4,624.1,347.6,86.9,86.9,79,0.448,0.363,0.759,0.546,20.9,16.7,6.0,2.8,3.0
50,882.0,504.0,140.0,56.0,84.0,70,0.484,0.365,0.727,0.57,19.0,17.9,6.1,2.4,2.1
37,923.0,312.0,565.5,32.5,91.0,65,0.411,0.34700000000000003,0.83,0.562,19.0,16.5,6.6,3.1,2.8
81,29.0,36.0,22.0,1.0,7.0,12,0.268,0.19,0.5,0.332,12.2,4.8,-0.1,-3.8,-0.1
42,283.2000000000001,76.80000000000003,182.4,0.0,14.4,48,0.405,0.338,0.8079999999999999,0.532,17.2,11.1,0.5,-5.5,-0.7
11,1770.0,248.0,444.0,24.0,91.0,80,0.431,0.384,0.8640000000000001,0.5720000000000001,27.4,20.6,8.5,3.2,3.6
1,1022.0,238.0,187.0,12.0,79.0,82,0.508,0.425,0.706,0.593,16.1,12.1,4.4,-0.2,1.2
35,843.0,248.0,165.0,34.0,60.0,72,0.435,0.3670000000000001,0.8220000000000001,0.5489999999999999,18.6,13.0,4.2,-0.2,0.9
10,1486.0,437.0,192.0,35.0,71.0,80,0.46,0.411,0.8290000000000001,0.565,23.3,17.1,6.7,0.7,1.8
0,852.0,248.5,85.2,56.8,49.7,71,0.478,0.389,0.75,0.591,18.0,14.4,4.4,-0.5,0.7
10,340.7999999999999,144.0,240.0,0.0,38.40000000000001,48,0.418,0.328,0.659,0.494,18.7,12.4,1.4,-1.3,0.2
54,920.0,145.0,242.0,16.0,74.0,61,0.424,0.378,0.642,0.526,20.6,12.6,2.4,-0.9,0.6
34,374.0,239.8,48.40000000000001,4.4,6.6,22,0.385,0.361,0.904,0.561,25.7,19.5,1.3,-1.7,0.0
59,655.0,291.0,73.0,38.0,46.0,57,0.471,0.314,0.772,0.545,24.6,18.0,3.1,0.3,0.7
19,980.0,660.0,81.0,69.0,29.0,77,0.568,0.405,0.8059999999999999,0.628,22.7,22.5,7.6,1.5,1.5
33,2028.0,499.2000000000001,460.2000000000001,85.80000000000003,54.6,78,0.521,0.353,0.885,0.631,28.2,24.2,11.5,4.3,4.3
9,421.4,112.7,63.7,4.9,44.1,49,0.444,0.364,0.833,0.537,15.7,8.9,1.5,-2.5,-0.2
37,876.0,291.0,153.0,31.0,80.0,72,0.371,0.359,0.823,0.513,18.2,10.8,1.7,-1.3,0.4
0,924.8,455.6,285.6,88.4,61.2,68,0.535,0.36,0.821,0.605,18.7,20.2,7.5,4.8,3.4
11,816.1999999999998,408.1,115.5,46.2,46.2,77,0.597,0.307,0.772,0.682,16.6,20.4,7.5,4.0,2.5
