,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
70,Boban Marjanovic,2017-2018,235.0,144.0,22.0,11.0,10.0,39,0.534,0.0,0.794,0.616,29.4,26.0,1.5,-0.6,0.1,7000000.0
71,Thabo Sefolosha,2017-2018,312.0,161.0,33.0,12.0,52.0,38,0.49200000000000005,0.381,0.815,0.591,16.4,15.8,2.6,1.9,0.8,5250000.0
72,Matthew Dellavedova,2017-2018,164.0,64.0,145.0,0.0,14.0,38,0.36200000000000004,0.37200000000000005,0.9259999999999999,0.5,13.5,8.6,0.5,-5.9,-0.7,9607500.0
73,Paul Millsap,2017-2018,555.0,245.0,105.0,44.0,39.0,38,0.46399999999999997,0.345,0.696,0.5489999999999999,22.0,17.0,2.5,0.7,0.8,30116666.66666667
74,Trey Burke,2017-2018,461.0,71.0,170.0,4.0,24.0,36,0.503,0.36200000000000004,0.649,0.563,25.1,21.0,2.4,1.0,0.6,1289587.5
75,Quinn Cook,2017-2018,312.0,82.0,89.0,1.0,12.0,33,0.484,0.442,0.88,0.593,17.5,12.8,1.6,-2.2,0.0,867391.5
76,Quinn Cook,2017-2018,312.0,82.0,89.0,1.0,12.0,33,0.484,0.442,0.88,0.593,17.5,12.8,1.6,-2.2,0.0,867391.5
77,Meyers Leonard,2017-2018,112.0,70.0,17.0,0.0,7.0,33,0.59,0.423,0.818,0.6759999999999999,16.1,17.8,1.1,0.9,0.2,10250000.0
78,Kenneth Faried,2017-2018,188.0,153.0,18.0,13.0,12.0,32,0.514,0.0,0.706,0.552,18.3,17.4,1.3,-2.3,0.0,12619684.25
79,Terrence Ross,2017-2018,209.0,73.0,38.0,11.0,27.0,24,0.39799999999999996,0.32299999999999995,0.75,0.505,17.3,9.9,0.3,-2.1,0.0,10333333.333333334
80,Danilo Gallinari,2017-2018,321.0,101.0,41.0,10.0,12.0,21,0.39799999999999996,0.324,0.9309999999999999,0.545,20.6,13.8,1.2,-1.4,0.1,21587579.0
81,Solomon Hill,2017-2018,29.0,36.0,22.0,1.0,7.0,12,0.268,0.19,0.5,0.332,12.2,4.8,-0.1,-3.8,-0.1,12500000.0
