NAME,SEASON,G,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,PER,TS%,USG%,WS,BPM,VORP
Evan Fournier,2019-2020,66,0.467,0.39899999999999997,0.818,171.6,211.20000000000002,72.60000000000001,13.200000000000001,1221.0,16.4,0.595,23.9,4.6,1.0,1.6
Donte DiVincenzo,2019-2020,66,0.455,0.336,0.733,316.8,151.79999999999998,85.8,19.8,607.1999999999999,14.1,0.557,17.3,4.3,1.3,1.3
Bobby Portis,2019-2020,66,0.45,0.358,0.763,336.59999999999997,99.0,33.0,19.8,666.6,14.6,0.53,21.4,1.9,-1.1,0.3
Isaac Bonga,2019-2020,66,0.504,0.35200000000000004,0.812,224.4,79.2,46.199999999999996,19.8,330.0,10.2,0.608,11.0,1.8,-2.8,-0.3
Jakob Poeltl,2019-2020,66,0.624,,0.465,376.2,118.8,39.6,92.39999999999999,369.59999999999997,19.1,0.612,13.2,4.0,2.5,1.3
Collin Sexton,2019-2020,65,0.47200000000000003,0.38,0.846,201.5,195.0,65.0,6.5,1352.0,16.3,0.56,27.2,2.5,-1.8,0.1
Coby White,2019-2020,65,0.39399999999999996,0.354,0.7909999999999999,227.5,175.5,52.0,6.5,858.0,11.9,0.506,24.4,0.9,-2.8,-0.4
Matisse Thybulle,2019-2020,65,0.423,0.35700000000000004,0.61,104.0,78.0,91.0,45.5,305.5,10.0,0.539,11.2,2.3,0.3,0.8
Lou Williams,2019-2020,65,0.418,0.35200000000000004,0.861,201.5,364.0,45.5,13.0,1183.0,17.3,0.546,28.4,4.1,0.8,1.3
Daniel Theis,2019-2020,65,0.5660000000000001,0.33299999999999996,0.763,429.0,110.5,39.0,84.5,598.0,17.9,0.631,14.4,6.5,2.4,1.7
Jae Crowder,2019-2020,65,0.401,0.34299999999999997,0.7759999999999999,383.5,162.5,71.5,26.0,682.5,12.5,0.5529999999999999,15.5,3.8,-0.1,0.9
Tyus Jones,2019-2020,65,0.45899999999999996,0.379,0.741,104.0,286.0,58.5,6.5,481.0,15.7,0.532,17.2,3.0,0.6,0.8
Josh Hart,2019-2020,65,0.423,0.342,0.7390000000000001,422.5,110.5,65.0,26.0,656.5,11.9,0.563,15.3,3.1,-0.7,0.6
Ricky Rubio,2019-2020,65,0.415,0.361,0.863,305.5,572.0,91.0,13.0,845.0,16.5,0.535,20.4,4.9,1.0,1.5
Kevin Knox,2019-2020,65,0.359,0.327,0.653,182.0,58.5,26.0,26.0,416.0,8.3,0.47,17.8,0.2,-4.2,-0.7
Justin Jackson,2019-2020,65,0.396,0.294,0.84,156.0,52.0,13.0,13.0,357.5,9.5,0.496,15.4,1.2,-3.4,-0.4
Miles Bridges,2019-2020,65,0.424,0.33,0.809,364.0,117.0,39.0,45.5,845.0,12.1,0.52,20.0,1.6,-2.5,-0.3
Cedi Osman,2019-2020,65,0.43700000000000006,0.38299999999999995,0.67,234.0,156.0,52.0,13.0,715.0,10.7,0.552,16.6,1.6,-2.6,-0.3
Tomáš Satoranský,2019-2020,65,0.43,0.322,0.8759999999999999,253.5,351.0,78.0,6.5,643.5,13.5,0.5329999999999999,16.7,3.5,-1.3,0.3
Dennis Schröder,2019-2020,65,0.469,0.385,0.8390000000000001,234.0,260.0,45.5,13.0,1228.5,16.7,0.575,27.2,3.6,0.0,1.0
Thaddeus Young,2019-2020,64,0.44799999999999995,0.35600000000000004,0.583,313.6,115.2,89.6,25.6,659.2,13.3,0.521,19.7,1.9,-1.2,0.3
Taurean Prince,2019-2020,64,0.376,0.33899999999999997,0.7979999999999999,384.0,115.2,57.6,25.6,774.4,9.1,0.49700000000000005,20.4,0.6,-2.9,-0.4
Spencer Dinwiddie,2019-2020,64,0.415,0.308,0.778,224.0,435.2,38.4,19.2,1318.4,17.8,0.541,29.2,4.8,1.8,1.9
Jaxson Hayes,2019-2020,64,0.672,0.25,0.647,256.0,57.6,25.6,57.6,473.6,17.6,0.6890000000000001,15.0,3.9,-0.3,0.5
Alex Caruso,2019-2020,64,0.41200000000000003,0.33299999999999996,0.7340000000000001,121.6,121.6,70.4,19.2,352.0,10.8,0.525,13.8,2.3,-0.2,0.5
Seth Curry,2019-2020,64,0.495,0.452,0.825,147.2,121.6,38.4,6.4,793.6,15.5,0.643,18.4,4.3,0.8,1.2
Julius Randle,2019-2020,64,0.46,0.27699999999999997,0.733,620.8,198.4,51.2,19.2,1248.0,17.5,0.5379999999999999,27.6,2.7,-0.3,0.9
Jarrett Culver,2019-2020,63,0.40399999999999997,0.299,0.462,214.2,107.1,56.7,37.8,579.5999999999999,9.6,0.467,19.2,-0.1,-4.0,-0.8
Gorgui Dieng,2019-2020,63,0.456,0.355,0.772,352.79999999999995,75.6,50.400000000000006,56.7,466.20000000000005,17.1,0.568,17.6,2.9,1.5,1.0
Montrezl Harrell,2019-2020,63,0.58,0.0,0.6579999999999999,447.29999999999995,107.1,37.8,69.30000000000001,1171.8000000000002,23.2,0.607,25.7,7.0,2.9,2.2
Ersan İlyasova,2019-2020,63,0.466,0.365,0.828,302.4,50.400000000000006,25.200000000000003,18.9,415.79999999999995,14.9,0.589,16.1,3.6,0.4,0.6
